[1/324] agency_0001  1s  (0.8 doc/s)
[10/324] agency_0004  17s  (0.6 doc/s)
[20/324] agency_0007__m1337_combo  36s  (0.5 doc/s)
[30/324] agency_0010__m2718_linebreak  52s  (0.6 doc/s)
[40/324] cession_0004  70s  (0.6 doc/s)
[50/324] cession_0007__m1337_digit_spaces  87s  (0.6 doc/s)
[60/324] labor_0002__m2718_homoglyph  106s  (0.6 doc/s)
[70/324] labor_0006  123s  (0.6 doc/s)
[80/324] labor_0009__m1337_invisible  141s  (0.6 doc/s)
[90/324] labor_0012__m2718_digit_spaces  159s  (0.6 doc/s)
[100/324] lease_0004  177s  (0.6 doc/s)
[110/324] lease_0007__m1337_combo  194s  (0.6 doc/s)
[120/324] lease_0010__m2718_cell_split  211s  (0.6 doc/s)
[130/324] loan_0002  233s  (0.6 doc/s)
[140/324] loan_0005__m1337_digit_spaces  263s  (0.5 doc/s)
[150/324] loan_0008__m2718_case  287s  (0.5 doc/s)
[160/324] sale_0002  315s  (0.5 doc/s)
[170/324] sale_0005__m1337_invisible  344s  (0.5 doc/s)
[180/324] sale_0008__m2718_combo  368s  (0.5 doc/s)
[190/324] sale_0012  394s  (0.5 doc/s)
[200/324] services_0001__m1337_combo  420s  (0.5 doc/s)
[210/324] services_0004__m2718_invisible  444s  (0.5 doc/s)
[220/324] services_0008  470s  (0.5 doc/s)
[230/324] services_0011__m1337_digit_spaces  493s  (0.5 doc/s)
[240/324] services_0014__m2718_linebreak  517s  (0.5 doc/s)
[250/324] supply_0004  540s  (0.5 doc/s)
[260/324] supply_0007__m1337_invisible  568s  (0.5 doc/s)
[270/324] supply_0010__m2718_homoglyph  594s  (0.5 doc/s)
[280/324] supply_0014  619s  (0.5 doc/s)
[290/324] works_0001__m1337_combo  649s  (0.4 doc/s)
[300/324] works_0004__m2718_digit_spaces  675s  (0.4 doc/s)
[310/324] works_0008  700s  (0.4 doc/s)
[320/324] works_0011__m1337_digit_spaces  726s  (0.4 doc/s)
DONE 324 docs in 737s -> C:\Jesus\ARP\tests\corpus\results_t2inn.json
